2026-07-14 11:49:19,531 [INFO] tokens per iteration will be: 8,192
2026-07-14 11:49:19,531 [INFO] run directory: out/tinystories_flashatt4_ctx256_bs32_20260714_114919
2026-07-14 11:49:19,531 [INFO] Initializing new model with block_size=256
2026-07-14 11:49:20,908 [INFO] model has 123.59M parameters
2026-07-14 11:49:20,910 [INFO] compiling the model...
2026-07-14 11:49:20,911 [INFO] compile time 0.00s
2026-07-14 11:49:26,466 [INFO] step 0: val loss 10.9909
2026-07-14 11:50:10,958 [INFO] iter 153: loss 3.4908, time 180.10ms, mfu 11.09%, tok/s 45,485
2026-07-14 11:50:11,138 [INFO] iter 154: loss 3.4282, time 180.74ms, mfu 11.10%, tok/s 45,324
2026-07-14 11:50:11,322 [INFO] iter 155: loss 3.4706, time 183.34ms, mfu 11.10%, tok/s 44,682
2026-07-14 11:50:11,504 [INFO] iter 156: loss 3.3285, time 181.65ms, mfu 11.10%, tok/s 45,097
2026-07-14 11:50:11,687 [INFO] iter 157: loss 3.4293, time 183.73ms, mfu 11.09%, tok/s 44,588
2026-07-14 11:50:11,869 [INFO] iter 158: loss 3.4572, time 181.42ms, mfu 11.09%, tok/s 45,154
2026-07-14 11:50:12,052 [INFO] iter 159: loss 3.3861, time 182.91ms, mfu 11.09%, tok/s 44,787
2026-07-14 11:50:12,235 [INFO] iter 160: loss 3.3244, time 183.61ms, mfu 11.08%, tok/s 44,616
2026-07-14 11:50:12,418 [INFO] iter 161: loss 3.4460, time 182.40ms, mfu 11.08%, tok/s 44,913
2026-07-14 11:50:12,601 [INFO] iter 162: loss 3.4475, time 183.52ms, mfu 11.08%, tok/s 44,639
2026-07-14 11:50:12,784 [INFO] iter 163: loss 3.4290, time 182.51ms, mfu 11.08%, tok/s 44,886
2026-07-14 11:50:12,964 [INFO] iter 164: loss 3.4527, time 180.62ms, mfu 11.09%, tok/s 45,355
2026-07-14 11:50:13,147 [INFO] iter 165: loss 3.4374, time 182.71ms, mfu 11.08%, tok/s 44,836
2026-07-14 11:50:13,329 [INFO] iter 166: loss 3.2801, time 181.76ms, mfu 11.09%, tok/s 45,070
2026-07-14 11:50:13,509 [INFO] iter 167: loss 3.4582, time 180.42ms, mfu 11.10%, tok/s 45,405
2026-07-14 11:50:13,692 [INFO] iter 168: loss 3.5476, time 183.56ms, mfu 11.09%, tok/s 44,630
2026-07-14 11:50:13,874 [INFO] iter 169: loss 3.4463, time 181.44ms, mfu 11.10%, tok/s 45,150
2026-07-14 11:50:14,055 [INFO] iter 170: loss 3.3524, time 181.10ms, mfu 11.10%, tok/s 45,234
2026-07-14 11:50:14,238 [INFO] iter 171: loss 3.3827, time 182.34ms, mfu 11.10%, tok/s 44,927
2026-07-14 11:50:14,420 [INFO] iter 172: loss 3.3687, time 182.77ms, mfu 11.10%, tok/s 44,822
2026-07-14 11:50:14,601 [INFO] iter 173: loss 3.3321, time 181.08ms, mfu 11.10%, tok/s 45,240
2026-07-14 11:50:14,784 [INFO] iter 174: loss 3.4214, time 182.47ms, mfu 11.10%, tok/s 44,894
2026-07-14 11:50:14,964 [INFO] iter 175: loss 3.3175, time 180.50ms, mfu 11.11%, tok/s 45,385
2026-07-14 11:50:15,147 [INFO] iter 176: loss 3.2763, time 182.81ms, mfu 11.10%, tok/s 44,813
2026-07-14 11:50:15,331 [INFO] iter 177: loss 3.2097, time 183.54ms, mfu 11.10%, tok/s 44,633
2026-07-14 11:50:15,513 [INFO] iter 178: loss 3.3226, time 181.84ms, mfu 11.10%, tok/s 45,050
2026-07-14 11:50:15,694 [INFO] iter 179: loss 3.2796, time 181.20ms, mfu 11.10%, tok/s 45,210
2026-07-14 11:50:15,875 [INFO] iter 180: loss 3.3185, time 181.23ms, mfu 11.11%, tok/s 45,201
2026-07-14 11:50:16,057 [INFO] iter 181: loss 3.2992, time 182.25ms, mfu 11.11%, tok/s 44,950
2026-07-14 11:50:16,240 [INFO] iter 182: loss 3.4034, time 182.56ms, mfu 11.10%, tok/s 44,872
2026-07-14 11:50:16,421 [INFO] iter 183: loss 3.3561, time 181.13ms, mfu 11.11%, tok/s 45,228
2026-07-14 11:50:16,601 [INFO] iter 184: loss 3.2857, time 180.55ms, mfu 11.12%, tok/s 45,371
2026-07-14 11:50:16,783 [INFO] iter 185: loss 3.2601, time 181.83ms, mfu 11.12%, tok/s 45,054
2026-07-14 11:50:16,964 [INFO] iter 186: loss 3.3036, time 180.57ms, mfu 11.13%, tok/s 45,368
2026-07-14 11:50:17,144 [INFO] iter 187: loss 3.3774, time 180.46ms, mfu 11.13%, tok/s 45,395
2026-07-14 11:50:17,327 [INFO] iter 188: loss 3.2646, time 182.77ms, mfu 11.13%, tok/s 44,820
2026-07-14 11:50:17,510 [INFO] iter 189: loss 3.2823, time 182.87ms, mfu 11.12%, tok/s 44,798
2026-07-14 11:50:17,692 [INFO] iter 190: loss 3.4254, time 181.35ms, mfu 11.12%, tok/s 45,173
2026-07-14 11:50:17,875 [INFO] iter 191: loss 3.2290, time 182.90ms, mfu 11.11%, tok/s 44,790
2026-07-14 11:50:18,056 [INFO] iter 192: loss 3.3212, time 181.78ms, mfu 11.11%, tok/s 45,067
2026-07-14 11:50:18,239 [INFO] iter 193: loss 3.3491, time 183.40ms, mfu 11.11%, tok/s 44,667
2026-07-14 11:50:18,420 [INFO] iter 194: loss 3.3883, time 180.84ms, mfu 11.11%, tok/s 45,299
2026-07-14 11:50:18,602 [INFO] iter 195: loss 3.2413, time 181.49ms, mfu 11.11%, tok/s 45,137
2026-07-14 11:50:18,784 [INFO] iter 196: loss 3.3614, time 181.82ms, mfu 11.12%, tok/s 45,056
2026-07-14 11:50:18,965 [INFO] iter 197: loss 3.2060, time 181.75ms, mfu 11.12%, tok/s 45,074
2026-07-14 11:50:19,148 [INFO] iter 198: loss 3.1305, time 182.51ms, mfu 11.11%, tok/s 44,885
2026-07-14 11:50:19,329 [INFO] iter 199: loss 3.3025, time 181.30ms, mfu 11.12%, tok/s 45,184
2026-07-14 11:50:20,310 [INFO] step 200: val loss 3.2340
2026-07-14 11:50:20,311 [INFO] saving checkpoint to out/tinystories_flashatt4_ctx256_bs32_20260714_114919/ckpt.pt
2026-07-14 11:50:22,451 [INFO] iter 200: loss 3.2766, time 3121.33ms, mfu 10.07%, tok/s 2,625
2026-07-14 11:50:22,634 [INFO] iter 201: loss 3.2774, time 183.33ms, mfu 10.16%, tok/s 44,685
2026-07-14 11:50:22,816 [INFO] iter 202: loss 3.2802, time 181.57ms, mfu 10.26%, tok/s 45,118
2026-07-14 11:50:22,998 [INFO] iter 203: loss 3.2632, time 182.57ms, mfu 10.34%, tok/s 44,870
2026-07-14 11:50:23,180 [INFO] iter 204: loss 3.3509, time 182.36ms, mfu 10.42%, tok/s 44,922
2026-07-14 11:50:23,361 [INFO] iter 205: loss 3.1829, time 180.50ms, mfu 10.49%, tok/s 45,384
2026-07-14 11:50:23,542 [INFO] iter 206: loss 3.2408, time 181.47ms, mfu 10.56%, tok/s 45,143
2026-07-14 11:50:23,726 [INFO] iter 207: loss 3.0975, time 183.72ms, mfu 10.60%, tok/s 44,589
2026-07-14 11:50:23,907 [INFO] iter 208: loss 3.2299, time 181.18ms, mfu 10.66%, tok/s 45,216
