2026-07-12 16:41:55,612 [INFO] tokens per iteration will be: 491,520
2026-07-12 16:41:55,612 [INFO] Initializing a new model from scratch
2026-07-12 16:41:55,612 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-12 16:41:57,169 [INFO] model has 123.59M parameters
2026-07-12 16:41:57,617 [INFO] compiling the model... (takes a ~minute)
2026-07-12 16:42:28,702 [INFO] step 0: train loss 10.9658, val loss 10.9655, gpu_util n/a%, mem_allocated 0.53GB
2026-07-12 17:13:50,182 [INFO] iter 194: loss 4.0808, time 9677.07ms, mfu 13.92%, tok/s 50,792
2026-07-12 17:13:59,866 [INFO] iter 195: loss 4.1956, time 9679.49ms, mfu 13.91%, tok/s 50,780
2026-07-12 17:14:09,546 [INFO] iter 196: loss 4.0912, time 9678.12ms, mfu 13.91%, tok/s 50,787
2026-07-12 17:14:19,214 [INFO] iter 197: loss 4.1461, time 9672.53ms, mfu 13.92%, tok/s 50,816
2026-07-12 17:14:28,891 [INFO] iter 198: loss 4.1910, time 9676.13ms, mfu 13.92%, tok/s 50,797
2026-07-12 17:14:38,573 [INFO] iter 199: loss 4.1590, time 9675.28ms, mfu 13.92%, tok/s 50,802
2026-07-12 17:14:48,248 [INFO] iter 200: loss 4.1189, time 9683.91ms, mfu 13.91%, tok/s 50,756
2026-07-12 17:14:57,937 [INFO] iter 201: loss 4.0948, time 9684.75ms, mfu 13.91%, tok/s 50,752
2026-07-12 17:15:07,615 [INFO] iter 202: loss 4.0436, time 9677.98ms, mfu 13.91%, tok/s 50,787
2026-07-12 17:15:17,291 [INFO] iter 203: loss 4.0870, time 9675.42ms, mfu 13.91%, tok/s 50,801
2026-07-12 17:15:26,962 [INFO] iter 204: loss 4.1408, time 9676.25ms, mfu 13.91%, tok/s 50,797
2026-07-12 17:15:36,641 [INFO] iter 205: loss 4.0711, time 9671.36ms, mfu 13.92%, tok/s 50,822
2026-07-12 17:15:46,312 [INFO] iter 206: loss 4.0907, time 9676.57ms, mfu 13.92%, tok/s 50,795
